House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Harris Wall,Samuel,Thompson,62,Head,Divorced,Male,Actuary,None,Catholic
1,Harris Wall,Anne,Thompson,5,Granddaughter,NA,Female,Student,None,NA
2,Harris Wall,Shaun,Simpson,57,Head,Married,Male,Chief of Staff,None,Christian
2,Harris Wall,Kim,Simpson,57,Wife,Married,Female,Unemployed,None,None
3,Harris Wall,Sylvia,Harper,47,Head,Single,Female,Academic librarian,None,None
3,Harris Wall,Antony,Harper,11,Son,NA,Male,Student,None,NA
3,Harris Wall,Linda,Harper,8,Daughter,NA,Female,Student,None,NA
3,Harris Wall,Stuart,Harper,4,Son,NA,Male,Child,None,NA
3,Harris Wall,Sian,Naylor,49,Lodger,Divorced,Female,Unemployed,None,Christian
4,Harris Wall,Naomi,James,53,Head,Married,Female,Further education lecturer,None,Methodist
4,Harris Wall,Mark,James,57,Husband,Married,Male,Pension scheme manager,None,Christian
4,Harris Wall,Charlene,James,26,Daughter,Divorced,Female,Water engineer,None,Methodist
4,Harris Wall,Amber,James,1,Daughter,NA,Female,Child,None,NA
5,Harris Wall,Lisa,Buckley,31,Head,Divorced,Female,Veterinary surgeon,None,None
5,Harris Wall,Colin,Buckley,8,Son,NA,Male,Student,None,NA
6,Harris Wall,Clare,Knight,43,Head,Single,Female,Unemployed,None,Christian
6,Harris Wall,Lucy,Knight,5,Daughter,NA,Female,Student,None,NA
7,Harris Wall,Dylan,Graham,61,Head,Divorced,Male,"Psychologist, prison and probation services",None,Methodist
7,Harris Wall,Harriet,Davis,13,Granddaughter,NA,Female,Student,None,NA
8,Harris Wall,Lawrence,Moore,52,Head,Single,Male,"Scientist, water quality",None,None
9,Harris Wall,Glenn,Ford,32,Head,Single,Male,Minerals surveyor,None,Catholic
9,Harris Wall,Melissa,Ford,8,Step-Daughter,NA,Female,Student,None,NA
10,Harris Wall,Vanessa,Murphy,36,Head,Single,Female,Ergonomist,None,None
10,Harris Wall,Carly,Murphy,8,Daughter,NA,Female,Student,None,NA
10,Harris Wall,Margaret,Murphy,7,Daughter,NA,Female,Student,None,NA
10,Harris Wall,Suzanne,Murphy,5,Daughter,NA,Female,Student,None,NA
11,Harris Wall,Dominic,Davis,80,Head,Married,Male,Retired Clinical research associate,None,Christian
11,Harris Wall,Beverley,Davis,71,Wife,Married,Female,Retired Economist,None,None
12,Harris Wall,Ellie,Gregory,39,Head,Divorced,Female,Best boy,None,None
12,Harris Wall,Raymond,Gregory,17,Son,NA,Male,Student,None,NA
13,Harris Wall,Kate,Graham,36,Head,Single,F,"Engineer, biomedical",None,Christian
14,Harris Wall,Lawrence,Bennett,76,Head,Married,Male,Retired Emergency planning/management officer,None,Christian
14,Harris Wall,Rita,Bennett,69,Wife,Married,Female,Retired Physiological scientist,None,Christian
15,Harris Wall,Sophie,Carter,34,Head,Married,Female,Museum/gallery curator,None,Sikh
15,Harris Wall,Tom,Carter,34,Husband,Married,Male,Multimedia programmer,None,Sikh
16,Harris Wall,Irene,Forster,28,Head,Married,Female,Orthoptist,None,Christian
16,Harris Wall,Samuel,Forster,27,Husband,Married,Male,"Nurse, mental health",None,Christian
16,Harris Wall,Dominic,Grant,28,None,Married,Male,Dispensing optician,None,None
16,Harris Wall,Dorothy,Grant,25,None,Married,Female,Physiotherapist,None,None
17,Harris Wall,Sharon,Heath,62,Head,Married,Female,Agricultural consultant,None,None
17,Harris Wall,Rhys,Heath,61,Husband,Married,Male,Insurance account manager,None,None
17,Harris Wall,Graeme,Heath,26,Son,Single,Male,Museum/gallery curator,None,None
18,Harris Wall,Jacqueline,Smith,43,Head,Single,Female,Land,None,Catholic
18,Harris Wall,Anthony,Howard,24,None,Single,Male,"Merchandiser, retail",None,None
18,Harris Wall,Hazel,Atkinson,32,None,Single,Female,Information officer,None,Catholic
18,Harris Wall,Kirsty,Hayward,38,None,Single,Female,"Administrator, education",None,Catholic
18,Harris Wall,Joel,Scott,53,None,Single,Male,"Lecturer, higher education",None,Christian
19,Harris Wall,Natalie,Howell,31,Head,Single,Female,Agricultural engineer,None,Muslim
19,Harris Wall,Brandon,Dennis,34,Partner,Single,Male,Hospital pharmacist,None,Muslim
